,,PlusMinus,PlusMinus,GameID
,,mean,std,count
player,HomeAway,,,
Alex Caruso,Away,2.0,8.135220844071672,12
Alex Caruso,Home,0.8571428571428571,12.11315695549973,21
Andre Ingram,Away,23.0,,1
Andre Ingram,Home,-4.0,,1
Andrew Bogut,Away,-0.18181818181818182,7.480884731342702,11
Andrew Bogut,Home,-1.8181818181818181,6.030226891555273,11
Brandon Ingram,Away,-5.888888888888889,11.917451112785864,27
Brandon Ingram,Home,2.814814814814815,12.700808687266386,27
Brook Lopez,Away,-1.4516129032258065,9.601523176654212,31
Brook Lopez,Home,0.4166666666666667,10.374074829662092,36
Channing Frye,Away,3.0,4.242640687119285,2
Channing Frye,Home,1.5,7.816648898345121,6
Corey Brewer,Away,-0.5833333333333334,8.742284382922124,24
Corey Brewer,Home,-2.8,9.300537618869138,25
Derrick Williams,Home,1.0,,1
Gary Payton II,Away,1.0,12.649110640673516,6
Gary Payton II,Home,-2.0,4.830458915396479,4
Isaiah Thomas,Away,-1.4444444444444444,7.17828515578601,9
Isaiah Thomas,Home,2.3333333333333335,15.214028613968972,6
Ivica Zubac,Away,-0.5,5.033222956847166,16
Ivica Zubac,Home,0.34782608695652173,7.62536851957258,23
Jordan Clarkson,Away,-2.391304347826087,9.228114800261125,23
Jordan Clarkson,Home,0.34615384615384615,12.221104066956661,26
Josh Hart,Away,-4.333333333333333,9.825398797934948,27
Josh Hart,Home,1.15625,11.013508933680404,32
Julius Randle,Away,-1.9714285714285715,10.928876252133783,35
Julius Randle,Home,0.4,13.543472266211536,40
Kentavious Caldwell-Pope,Away,-1.3,9.210750839887199,30
Kentavious Caldwell-Pope,Home,0.6216216216216216,11.684156774004684,37
Kyle Kuzma,Away,-4.588235294117647,8.308876768557841,34
Kyle Kuzma,Home,0.7567567567567568,12.12299331712127,37
Larry Nance Jr.,Away,-3.2777777777777777,8.00592101146583,18
Larry Nance Jr.,Home,2.380952380952381,13.481380457787662,21
Lonzo Ball,Away,-2.9565217391304346,10.346181820404547,23
Lonzo Ball,Home,2.64,15.296731677060954,25
Luol Deng,Home,-7.0,,1
Nigel Hayes,Away,7.0,,1
Nigel Hayes,Home,1.0,,1
Thomas Bryant,Away,-3.0,3.4641016151377544,3
Thomas Bryant,Home,-0.7,3.7727090178455764,10
Travis Wear,Away,4.571428571428571,7.892129895390362,7
Travis Wear,Home,-2.5555555555555554,6.385748020222672,9
Tyler Ennis,Away,-0.2,7.280832803724411,20
Tyler Ennis,Home,-0.6551724137931034,8.644882309654843,29
Vander Blue,Away,4.75,1.5,4
Vander Blue,Home,-3.0,,1
