,HomeTeam,Score,AwayTeam,Date,Ground
0,Italy,9 - 26,Wales,23 Feb 2013,"Stadio Flaminio Rome, Italy"
1,Italy,16 - 24,Wales,26 Feb 2011,"Stadio Flaminio Rome, Italy"
2,Italy,15 - 20,Wales,14 Mar 2009,"Stadio Flaminio Rome, Italy"
3,Italy,23 - 20,Wales,10 Mar 2007,"Stadio Flaminio Rome, Italy"
4,Italy,8 - 38,Wales,12 Feb 2005,"Stadio Flaminio Rome, Italy"
5,Italy,15 - 27,Wales,25 Oct 2003,"Bruce Stadium Canberra, Australia"
6,Italy,30 - 22,Wales,15 Feb 2003,"Stadio Flaminio Rome, Italy"
7,Italy,23 - 33,Wales,08 Apr 2001,"Stadio Flaminio Rome, Italy"
8,Italy,21 - 60,Wales,20 Mar 1999,"Stadio di Monigo Treviso, Italy"
9,Italy,22 - 31,Wales,05 Oct 1996,"Olympic Stadium Rome, Italy"
10,Italy,20 - 61,Wales,21 Mar 2015,
11,Italy,7 - 33,Wales,05 Feb 2017,
12,Wales,23 - 15,Italy,01 Feb 2014,"Millennium Stadium Cardiff, Wales"
13,Wales,24 - 3,Italy,10 Mar 2012,"Millennium Stadium Cardiff, Wales"
14,Wales,33 - 10,Italy,20 Mar 2010,"Millennium Stadium Cardiff, Wales"
15,Wales,47 - 8,Italy,23 Feb 2008,"Millennium Stadium Cardiff, Wales"
16,Wales,18 - 18,Italy,11 Mar 2006,"Millennium Stadium Cardiff, Wales"
17,Wales,44 - 10,Italy,27 Mar 2004,"Millennium Stadium Cardiff, Wales"
18,Wales,44 - 20,Italy,02 Mar 2002,"Millennium Stadium Cardiff, Wales"
19,Wales,47 - 16,Italy,19 Feb 2000,"Millennium Stadium Cardiff, Wales"
20,Wales,23 - 20,Italy,07 Feb 1998,"Stradey Park Llanelli, Wales"
21,Wales,31 - 26,Italy,16 Jan 1996,"Millennium Stadium Cardiff, Wales"
22,Wales,29 - 19,Italy,12 Oct 1994,"Millennium Stadium Cardiff, Wales"
23,Wales,23 - 19,Italy,05 Sep 2015,
24,Wales,38 - 14,Italy,11 Mar 2018,
25,Wales,67 - 14,Italy,19 Mar 2016,
