,HomeTeam,Score,AwayTeam,Date,Ground
0,Wales,22 - 30,Ireland,02 Feb 2013,"Millennium Stadium Cardiff, Wales"
1,Wales,19 - 13,Ireland,12 Mar 2011,"Millennium Stadium Cardiff, Wales"
2,Wales,15 - 17,Ireland,21 Mar 2009,"Millennium Stadium Cardiff, Wales"
3,Wales,9 - 19,Ireland,04 Feb 2007,"Millennium Stadium Cardiff, Wales"
4,Wales,32 - 20,Ireland,19 Mar 2005,"Millennium Stadium Cardiff, Wales"
5,Wales,24 - 25,Ireland,22 Mar 2003,"Millennium Stadium Cardiff, Wales"
6,Wales,6 - 36,Ireland,13 Oct 2001,"Millennium Stadium Cardiff, Wales"
7,Wales,23 - 29,Ireland,20 Feb 1999,"Wembley Stadium London, England"
8,Wales,25 - 26,Ireland,01 Feb 1997,"Millennium Stadium Cardiff, Wales"
9,Wales,12 - 16,Ireland,18 Mar 1995,"Millennium Stadium Cardiff, Wales"
10,Wales,14 - 19,Ireland,06 Mar 1993,"Millennium Stadium Cardiff, Wales"
11,Wales,21 - 21,Ireland,16 Feb 1991,"Millennium Stadium Cardiff, Wales"
12,Wales,13 - 19,Ireland,04 Feb 1989,"Millennium Stadium Cardiff, Wales"
13,Wales,11 - 15,Ireland,04 Apr 1987,"Cardiff Arms Park Cardiff, Wales"
14,Wales,9 - 21,Ireland,16 Mar 1985,"Cardiff Arms Park Cardiff, Wales"
15,Wales,23 - 9,Ireland,05 Mar 1983,"Millennium Stadium Cardiff, Wales"
16,Wales,9 - 8,Ireland,21 Feb 1981,"Millennium Stadium Cardiff, Wales"
17,Wales,24 - 21,Ireland,03 Feb 1979,"Millennium Stadium Cardiff, Wales"
18,Wales,25 - 9,Ireland,15 Jan 1977,"Millennium Stadium Cardiff, Wales"
19,Wales,32 - 4,Ireland,15 Mar 1975,"Millennium Stadium Cardiff, Wales"
20,Wales,16 - 12,Ireland,10 Mar 1973,"Millennium Stadium Cardiff, Wales"
21,Wales,23 - 9,Ireland,13 Mar 1971,"Millennium Stadium Cardiff, Wales"
22,Wales,24 - 11,Ireland,08 Mar 1969,"Millennium Stadium Cardiff, Wales"
23,Wales,0 - 3,Ireland,11 Mar 1967,"Millennium Stadium Cardiff, Wales"
24,Wales,14 - 8,Ireland,13 Mar 1965,"Millennium Stadium Cardiff, Wales"
25,Wales,6 - 14,Ireland,09 Mar 1963,"Millennium Stadium Cardiff, Wales"
26,Wales,9 - 0,Ireland,11 Mar 1961,"Millennium Stadium Cardiff, Wales"
27,Wales,8 - 6,Ireland,14 Mar 1959,"Millennium Stadium Cardiff, Wales"
28,Wales,6 - 5,Ireland,09 Mar 1957,"Millennium Stadium Cardiff, Wales"
29,Wales,21 - 3,Ireland,12 Mar 1955,"Millennium Stadium Cardiff, Wales"
30,Wales,5 - 3,Ireland,14 Mar 1953,"St Helens Swansea, Wales"
31,Wales,3 - 3,Ireland,10 Mar 1951,"Millennium Stadium Cardiff, Wales"
