,HomeTeam,Score,AwayTeam,Date,Ground
0,England,23 - 13,France,23 Feb 2013,"Twickenham London, England"
1,England,12 - 19,France,08 Oct 2011,"Eden Park Auckland, New Zealand"
2,England,17 - 9,France,26 Feb 2011,"Twickenham London, England"
3,England,34 - 10,France,15 Mar 2009,"Twickenham London, England"
4,England,14 - 9,France,13 Oct 2007,"Stade de France Paris, France"
5,England,15 - 21,France,11 Aug 2007,"Twickenham London, England"
6,England,26 - 18,France,11 Mar 2007,"Twickenham London, England"
7,England,17 - 18,France,13 Feb 2005,"Twickenham London, England"
8,England,24 - 7,France,16 Nov 2003,"Stadium Australia Sydney, Australia"
9,England,45 - 14,France,06 Sep 2003,"Twickenham London, England"
10,England,25 - 17,France,15 Feb 2003,"Twickenham London, England"
11,England,48 - 19,France,07 Apr 2001,"Twickenham London, England"
12,England,21 - 10,France,20 Mar 1999,"Twickenham London, England"
13,England,20 - 23,France,01 Mar 1997,"Twickenham London, England"
14,England,9 - 19,France,22 Jun 1995,"Loftus Pretoria, South Africa"
15,England,31 - 10,France,04 Feb 1995,"Twickenham London, England"
16,England,16 - 15,France,16 Jan 1993,"Twickenham London, England"
17,England,21 - 19,France,16 Mar 1991,"Twickenham London, England"
18,England,11 - 0,France,04 Mar 1989,"Twickenham London, England"
19,England,15 - 19,France,21 Feb 1987,"Twickenham London, England"
20,England,9 - 9,France,02 Feb 1985,"Twickenham London, England"
21,England,15 - 19,France,15 Jan 1983,"Twickenham London, England"
22,England,12 - 16,France,21 Mar 1981,"Twickenham London, England"
23,England,7 - 6,France,03 Mar 1979,"Twickenham London, England"
24,England,3 - 4,France,19 Feb 1977,"Twickenham London, England"
25,England,20 - 27,France,01 Feb 1975,"Twickenham London, England"
26,England,14 - 6,France,24 Feb 1973,"Twickenham London, England"
27,England,14 - 14,France,27 Feb 1971,"Twickenham London, England"
28,England,22 - 8,France,22 Feb 1969,"Twickenham London, England"
29,England,12 - 16,France,25 Feb 1967,"Twickenham London, England"
30,England,9 - 6,France,27 Feb 1965,"Twickenham London, England"
31,England,6 - 5,France,23 Feb 1963,"Twickenham London, England"
32,England,5 - 5,France,25 Feb 1961,"Twickenham London, England"
33,England,3 - 3,France,28 Feb 1959,"Twickenham London, England"
34,England,9 - 5,France,23 Feb 1957,"Twickenham London, England"
35,England,9 - 16,France,26 Feb 1955,"Twickenham London, England"
36,England,11 - 0,France,28 Feb 1953,"Twickenham London, England"
37,England,3 - 11,France,24 Feb 1951,"Twickenham London, England"
38,England,8 - 3,France,26 Feb 1949,"Twickenham London, England"
39,England,6 - 3,France,19 Apr 1947,"Twickenham London, England"
40,England,11 - 5,France,22 Feb 1930,"Twickenham London, England"
41,England,18 - 8,France,25 Feb 1928,"Twickenham London, England"
42,England,11 - 0,France,27 Feb 1926,"Twickenham London, England"
43,England,19 - 7,France,23 Feb 1924,"Twickenham London, England"
44,England,11 - 11,France,25 Feb 1922,"Twickenham London, England"
45,England,8 - 3,France,31 Jan 1920,"Twickenham London, England"
46,England,20 - 0,France,25 Jan 1913,"Twickenham London, England"
47,England,37 - 0,France,28 Jan 1911,"Twickenham London, England"
48,England,22 - 0,France,30 Jan 1909,"Welford Road Leicester, England"
49,England,41 - 13,France,05 Jan 1907,"Athletic Ground Richmond, England"
50,England,55 - 35,France,21 Mar 2015,
51,England,19 - 14,France,15 Aug 2015,
52,England,19 - 16,France,04 Feb 2017,
53,France,26 - 24,England,01 Feb 2014,"Stade de France Paris, France"
54,France,22 - 24,England,11 Mar 2012,"Stade de France Paris, France"
55,France,12 - 10,England,20 Mar 2010,"Stade de France Paris, France"
56,France,13 - 24,England,23 Feb 2008,"Stade de France Paris, France"
57,France,22 - 9,England,18 Aug 2007,"Stade de France Paris, France"
58,France,31 - 6,England,12 Mar 2006,"Stade de France Paris, France"
59,France,24 - 21,England,27 Mar 2004,"Stade de France Paris, France"
60,France,17 - 16,England,30 Aug 2003,"Marseille Marseille, France"
