,HomeTeam,Score,AwayTeam,Date,Ground
0,England,18 - 11,Italy,10 Mar 2013,"Twickenham London, England"
1,England,59 - 13,Italy,12 Feb 2011,"Twickenham London, England"
2,England,36 - 11,Italy,07 Feb 2009,"Twickenham London, England"
3,England,20 - 7,Italy,10 Feb 2007,"Twickenham London, England"
4,England,39 - 7,Italy,12 Mar 2005,"Twickenham London, England"
5,England,40 - 5,Italy,09 Mar 2003,"Twickenham London, England"
6,England,80 - 23,Italy,17 Feb 2001,"Twickenham London, England"
7,England,67 - 7,Italy,02 Oct 1999,"Twickenham London, England"
8,England,23 - 15,Italy,22 Nov 1998,"McAlpine Stadium Huddersfield, England"
9,England,54 - 21,Italy,23 Nov 1996,"Twickenham London, England"
10,England,27 - 20,Italy,31 May 1995,"ABSA Stadium Durban, South Africa"
11,England,36 - 6,Italy,08 Oct 1991,"Twickenham London, England"
12,England,47 - 17,Italy,14 Feb 2015,
13,England,36 - 15,Italy,26 Feb 2017,
14,Italy,11 - 52,England,15 Mar 2014,"Stadio Olimpico Rome, Italy"
15,Italy,15 - 19,England,11 Feb 2012,"Stadio Olimpico Rome, Italy"
16,Italy,12 - 17,England,14 Feb 2010,"Stadio Flaminio Rome, Italy"
17,Italy,19 - 23,England,10 Feb 2008,"Stadio Flaminio Rome, Italy"
18,Italy,16 - 31,England,11 Feb 2006,"Stadio Flaminio Rome, Italy"
19,Italy,9 - 50,England,15 Feb 2004,"Stadio Flaminio Rome, Italy"
20,Italy,9 - 45,England,07 Apr 2002,"Stadio Flaminio Rome, Italy"
21,Italy,12 - 59,England,18 Mar 2000,"Stadio Flaminio Rome, Italy"
22,Italy,9 - 40,England,14 Feb 2016,
23,Italy,15 - 46,England,04 Feb 2018,
