,HomeTeam,Score,AwayTeam,Date,Ground
0,England,29 - 18,Wales,09 Mar 2014,"Twickenham London, England"
1,England,12 - 19,Wales,25 Feb 2012,"Twickenham London, England"
2,England,23 - 19,Wales,06 Aug 2011,"Twickenham London, England"
3,England,30 - 17,Wales,06 Feb 2010,"Twickenham London, England"
4,England,19 - 26,Wales,02 Feb 2008,"Twickenham London, England"
5,England,62 - 5,Wales,04 Aug 2007,"Twickenham London, England"
6,England,47 - 13,Wales,04 Feb 2006,"Twickenham London, England"
7,England,31 - 21,Wales,20 Mar 2004,"Twickenham London, England"
8,England,28 - 17,Wales,09 Nov 2003,"Lang Park Brisbane, Australia"
9,England,50 - 10,Wales,23 Mar 2002,"Twickenham London, England"
10,England,46 - 12,Wales,04 Mar 2000,"Twickenham London, England"
11,England,31 - 32,Wales,11 Apr 1999,"Wembley Stadium London, England"
12,England,60 - 26,Wales,21 Feb 1998,"Twickenham London, England"
13,England,21 - 15,Wales,03 Feb 1996,"Twickenham London, England"
14,England,15 - 8,Wales,19 Mar 1994,"Twickenham London, England"
15,England,24 - 0,Wales,07 Mar 1992,"Twickenham London, England"
16,England,34 - 6,Wales,17 Feb 1990,"Twickenham London, England"
17,England,3 - 11,Wales,06 Feb 1988,"Twickenham London, England"
18,England,3 - 16,Wales,08 Jun 1987,"Ballymore Brisbane, Australia"
19,England,21 - 18,Wales,18 Jan 1986,"Twickenham London, England"
20,England,15 - 24,Wales,17 Mar 1984,"Twickenham London, England"
21,England,17 - 7,Wales,06 Mar 1982,"Twickenham London, England"
22,England,9 - 8,Wales,16 Feb 1980,"Twickenham London, England"
23,England,6 - 9,Wales,04 Feb 1978,"Twickenham London, England"
24,England,9 - 21,Wales,17 Jan 1976,"Twickenham London, England"
25,England,16 - 12,Wales,16 Mar 1974,"Twickenham London, England"
26,England,3 - 12,Wales,15 Jan 1972,"Twickenham London, England"
27,England,13 - 17,Wales,28 Feb 1970,"Twickenham London, England"
28,England,11 - 11,Wales,20 Jan 1968,"Twickenham London, England"
29,England,6 - 11,Wales,15 Jan 1966,"Twickenham London, England"
30,England,6 - 6,Wales,18 Jan 1964,"Twickenham London, England"
31,England,0 - 0,Wales,20 Jan 1962,"Twickenham London, England"
32,England,14 - 6,Wales,16 Jan 1960,"Twickenham London, England"
33,England,3 - 3,Wales,18 Jan 1958,"Twickenham London, England"
34,England,3 - 8,Wales,21 Jan 1956,"Twickenham London, England"
35,England,9 - 6,Wales,16 Jan 1954,"Twickenham London, England"
36,England,6 - 8,Wales,19 Jan 1952,"Twickenham London, England"
37,England,5 - 11,Wales,21 Jan 1950,"Twickenham London, England"
38,England,3 - 3,Wales,17 Jan 1948,"Twickenham London, England"
39,England,3 - 0,Wales,21 Jan 1939,"Twickenham London, England"
40,England,4 - 3,Wales,16 Jan 1937,"Twickenham London, England"
41,England,3 - 3,Wales,19 Jan 1935,"Twickenham London, England"
42,England,3 - 7,Wales,21 Jan 1933,"Twickenham London, England"
