,HomeTeam,Score,AwayTeam,Date,Ground
0,France,30 - 10,Italy,09 Feb 2014,"Stade de France Paris, France"
1,France,30 - 12,Italy,04 Feb 2012,"Stade de France Paris, France"
2,France,46 - 20,Italy,14 Mar 2010,"Stade de France Paris, France"
3,France,25 - 13,Italy,09 Mar 2008,"Stade de France Paris, France"
4,France,37 - 12,Italy,25 Feb 2006,"Stade de France Paris, France"
5,France,25 - 0,Italy,21 Feb 2004,"Stade de France Paris, France"
6,France,33 - 12,Italy,02 Feb 2002,"Stade de France Paris, France"
7,France,42 - 31,Italy,01 Apr 2000,"Stade de France Paris, France"
8,France,30 - 19,Italy,18 Oct 1997,"Stade Moulias Auch, France"
9,France,32 - 40,Italy,22 Mar 1997,"Stade Lesdiguires Grenoble, France"
10,France,34 - 22,Italy,14 Oct 1995,"Ferro Carril Oeste Stadium Buenos Aires, Argentina"
11,France,60 - 13,Italy,26 Mar 1967,"Stade Felix Mayol Toulon, France"
12,France,21 - 0,Italy,18 Apr 1965,"Croix du Prince Pau, France"
13,France,14 - 12,Italy,14 Apr 1963,"Stade Lesdiguires Grenoble, France"
14,France,17 - 0,Italy,02 Apr 1961,"Stade Municipal Chambery, France"
15,France,22 - 0,Italy,29 Mar 1959,"Stade Marcel Saupin Nantes, France"
16,France,38 - 6,Italy,21 Apr 1957,"Stade Armandie Agen, France"
17,France,24 - 0,Italy,10 Apr 1955,"Stade Lesdiguires Grenoble, France"
18,France,22 - 8,Italy,26 Apr 1953,"Stade Gerland Lyon, France"
19,France,43 - 5,Italy,17 Oct 1937,"Parc des Princes Paris, France"
20,France,32 - 10,Italy,19 Sep 2015,
21,France,23 - 21,Italy,06 Feb 2016,
22,France,34 - 17,Italy,23 Feb 2018,
23,Italy,23 - 18,France,03 Feb 2013,"Stadio Olimpico Rome, Italy"
24,Italy,22 - 21,France,12 Mar 2011,"Stadio Flaminio Rome, Italy"
25,Italy,8 - 50,France,21 Mar 2009,"Stadio Flaminio Rome, Italy"
26,Italy,3 - 39,France,03 Feb 2007,"Stadio Flaminio Rome, Italy"
27,Italy,13 - 56,France,19 Mar 2005,"Stadio Flaminio Rome, Italy"
28,Italy,27 - 53,France,23 Mar 2003,"Stadio Flaminio Rome, Italy"
29,Italy,19 - 30,France,03 Mar 2001,"Stadio Flaminio Rome, Italy"
30,Italy,9 - 22,France,17 Feb 1985,"Stadio di Monigo Treviso, Italy"
31,Italy,0 - 21,France,09 Apr 1966,"Naples Naples, Italy"
32,Italy,3 - 12,France,29 Mar 1964,"Stade Comunale Parma, Italy"
33,Italy,3 - 6,France,22 Apr 1962,"Mompiano Brescia, Italy"
34,Italy,0 - 26,France,17 Apr 1960,"Stadio di Monigo Treviso, Italy"
35,Italy,3 - 11,France,07 Apr 1958,"Naples Naples, Italy"
36,Italy,3 - 16,France,02 Apr 1956,"Stadio Plebiscito Padova, Italy"
37,Italy,12 - 39,France,24 Apr 1954,"Olympic Stadium Rome, Italy"
38,Italy,8 - 17,France,17 May 1952,"Arena Civica Milan, Italy"
39,Italy,0 - 29,France,15 Mar 2015,
40,Italy,18 - 40,France,11 Mar 2017,
