,HomeTeam,Score,AwayTeam,Date,Ground
0,France,20 - 22,Ireland,15 Mar 2014,"Stade de France Paris, France"
1,France,17 - 17,Ireland,04 Mar 2012,"Stade de France Paris, France"
2,France,19 - 12,Ireland,13 Aug 2011,"Stade Municipal Bordeaux, France"
3,France,33 - 10,Ireland,13 Feb 2010,"Stade de France Paris, France"
4,France,26 - 21,Ireland,09 Feb 2008,"Stade de France Paris, France"
5,France,25 - 3,Ireland,21 Sep 2007,"Stade de France Paris, France"
6,France,43 - 31,Ireland,11 Feb 2006,"Stade de France Paris, France"
7,France,35 - 17,Ireland,14 Feb 2004,"Stade de France Paris, France"
8,France,43 - 21,Ireland,09 Nov 2003,"Colonial Stadium Melbourne, Australia"
9,France,44 - 5,Ireland,06 Apr 2002,"Stade de France Paris, France"
10,France,25 - 27,Ireland,19 Mar 2000,"Stade de France Paris, France"
11,France,18 - 16,Ireland,07 Mar 1998,"Stade de France Paris, France"
12,France,45 - 10,Ireland,17 Feb 1996,"Parc des Princes Paris, France"
13,France,36 - 12,Ireland,10 Jun 1995,"ABSA Stadium Durban, South Africa"
14,France,35 - 15,Ireland,15 Jan 1994,"Parc des Princes Paris, France"
15,France,44 - 12,Ireland,21 Mar 1992,"Parc des Princes Paris, France"
16,France,31 - 12,Ireland,03 Mar 1990,"Parc des Princes Paris, France"
17,France,25 - 6,Ireland,20 Feb 1988,"Parc des Princes Paris, France"
18,France,29 - 9,Ireland,01 Feb 1986,"Parc des Princes Paris, France"
19,France,25 - 12,Ireland,21 Jan 1984,"Parc des Princes Paris, France"
20,France,22 - 9,Ireland,20 Mar 1982,"Parc des Princes Paris, France"
21,France,19 - 18,Ireland,01 Mar 1980,"Parc des Princes Paris, France"
22,France,10 - 9,Ireland,18 Feb 1978,"Parc des Princes Paris, France"
23,France,26 - 3,Ireland,07 Feb 1976,"Parc des Princes Paris, France"
24,France,9 - 6,Ireland,19 Jan 1974,"Parc des Princes Paris, France"
25,France,9 - 14,Ireland,29 Jan 1972,"Stade Colombes Paris, France"
26,France,8 - 0,Ireland,24 Jan 1970,"Stade Colombes Paris, France"
27,France,16 - 6,Ireland,27 Jan 1968,"Stade Colombes Paris, France"
