,HomeTeam,Score,AwayTeam,Date,Ground
0,England,13 - 10,Ireland,22 Feb 2014,"Twickenham London, England"
1,England,30 - 9,Ireland,17 Mar 2012,"Twickenham London, England"
2,England,16 - 20,Ireland,27 Feb 2010,"Twickenham London, England"
3,England,33 - 10,Ireland,15 Mar 2008,"Twickenham London, England"
4,England,24 - 28,Ireland,18 Mar 2006,"Twickenham London, England"
5,England,13 - 19,Ireland,06 Mar 2004,"Twickenham London, England"
6,England,45 - 11,Ireland,16 Feb 2002,"Twickenham London, England"
7,England,50 - 18,Ireland,05 Feb 2000,"Twickenham London, England"
8,England,35 - 17,Ireland,04 Apr 1998,"Twickenham London, England"
9,England,28 - 15,Ireland,16 Mar 1996,"Twickenham London, England"
10,England,12 - 13,Ireland,19 Feb 1994,"Twickenham London, England"
11,England,38 - 9,Ireland,01 Feb 1992,"Twickenham London, England"
12,England,23 - 0,Ireland,20 Jan 1990,"Twickenham London, England"
13,England,35 - 3,Ireland,19 Mar 1988,"Twickenham London, England"
14,England,25 - 20,Ireland,01 Mar 1986,"Twickenham London, England"
15,England,12 - 9,Ireland,18 Feb 1984,"Twickenham London, England"
16,England,15 - 16,Ireland,06 Feb 1982,"Twickenham London, England"
17,England,24 - 9,Ireland,19 Jan 1980,"Twickenham London, England"
18,England,15 - 9,Ireland,18 Mar 1978,"Twickenham London, England"
19,England,12 - 13,Ireland,06 Mar 1976,"Twickenham London, England"
20,England,21 - 26,Ireland,16 Feb 1974,"Twickenham London, England"
21,England,12 - 16,Ireland,12 Feb 1972,"Twickenham London, England"
22,England,9 - 3,Ireland,14 Feb 1970,"Twickenham London, England"
23,England,9 - 9,Ireland,10 Feb 1968,"Twickenham London, England"
24,England,6 - 6,Ireland,12 Feb 1966,"Twickenham London, England"
25,England,5 - 18,Ireland,08 Feb 1964,"Twickenham London, England"
26,England,16 - 0,Ireland,10 Feb 1962,"Twickenham London, England"
27,England,8 - 5,Ireland,13 Feb 1960,"Twickenham London, England"
28,England,6 - 0,Ireland,08 Feb 1958,"Twickenham London, England"
29,England,20 - 0,Ireland,11 Feb 1956,"Twickenham London, England"
30,England,14 - 3,Ireland,13 Feb 1954,"Twickenham London, England"
31,England,3 - 0,Ireland,29 Mar 1952,"Twickenham London, England"
32,England,3 - 0,Ireland,11 Feb 1950,"Twickenham London, England"
33,England,10 - 11,Ireland,14 Feb 1948,"Twickenham London, England"
34,England,0 - 5,Ireland,11 Feb 1939,"Twickenham London, England"
35,England,9 - 8,Ireland,13 Feb 1937,"Twickenham London, England"
36,England,14 - 3,Ireland,09 Feb 1935,"Twickenham London, England"
37,England,17 - 6,Ireland,11 Feb 1933,"Twickenham London, England"
38,England,5 - 6,Ireland,14 Feb 1931,"Twickenham London, England"
39,England,5 - 6,Ireland,09 Feb 1929,"Twickenham London, England"
40,England,8 - 6,Ireland,12 Feb 1927,"Twickenham London, England"
41,England,6 - 6,Ireland,14 Feb 1925,"Twickenham London, England"
42,England,23 - 5,Ireland,10 Feb 1923,"Welford Road Leicester, England"
43,England,15 - 0,Ireland,12 Feb 1921,"Twickenham London, England"
44,England,17 - 12,Ireland,14 Feb 1914,"Twickenham London, England"
45,England,15 - 0,Ireland,10 Feb 1912,"Twickenham London, England"
46,England,0 - 0,Ireland,12 Feb 1910,"Twickenham London, England"
47,England,13 - 3,Ireland,08 Feb 1908,"Athletic Ground Richmond, England"
48,England,6 - 16,Ireland,10 Feb 1906,"Welford Road Leicester, England"
49,England,19 - 0,Ireland,13 Feb 1904,"Rectory Field Blackheath, England"
50,England,6 - 3,Ireland,08 Feb 1902,"Welford Road Leicester, England"
51,England,15 - 4,Ireland,03 Feb 1900,"Athletic Ground Richmond, England"
52,England,6 - 9,Ireland,05 Feb 1898,"Athletic Ground Richmond, England"
53,England,4 - 10,Ireland,01 Feb 1896,"Meanwood Road Leeds, England"
54,England,5 - 7,Ireland,03 Feb 1894,"Rectory Field Blackheath, England"
55,England,7 - 0,Ireland,06 Feb 1892,"Whalley Range Manchester, England"
56,England,3 - 0,Ireland,15 Mar 1890,"Rectory Field Blackheath, England"
57,England,2 - 1,Ireland,07 Feb 1885,"Whalley Range Manchester, England"
58,England,6 - 1,Ireland,05 Feb 1883,"Whalley Range Manchester, England"
59,England,8 - 0,Ireland,05 Feb 1881,"Whalley Range Manchester, England"
60,England,11 - 0,Ireland,24 Mar 1879,"The Oval London, England"
61,England,8 - 0,Ireland,05 Feb 1877,"The Oval London, England"
62,England,7 - 0,Ireland,15 Feb 1875,"The Oval London, England"
63,England,21 - 13,Ireland,05 Sep 2015,
64,England,21 - 10,Ireland,27 Feb 2016,
65,England,15 - 24,Ireland,17 Mar 2018,
66,Ireland,6 - 12,England,10 Feb 2013,"Aviva Stadium Dublin, Ireland"
67,Ireland,9 - 20,England,27 Aug 2011,"Lansdowne Road Dublin, Ireland"
68,Ireland,24 - 8,England,19 Mar 2011,"Lansdowne Road Dublin, Ireland"
69,Ireland,14 - 13,England,28 Feb 2009,"Croke Park Dublin, Ireland"
70,Ireland,43 - 13,England,24 Feb 2007,"Croke Park Dublin, Ireland"
71,Ireland,19 - 13,England,27 Feb 2005,"Lansdowne Road Dublin, Ireland"
72,Ireland,6 - 42,England,30 Mar 2003,"Lansdowne Road Dublin, Ireland"
73,Ireland,20 - 14,England,20 Oct 2001,"Lansdowne Road Dublin, Ireland"
74,Ireland,15 - 27,England,06 Mar 1999,"Lansdowne Road Dublin, Ireland"
75,Ireland,6 - 46,England,15 Feb 1997,"Lansdowne Road Dublin, Ireland"
76,Ireland,8 - 20,England,21 Jan 1995,"Lansdowne Road Dublin, Ireland"
77,Ireland,17 - 3,England,20 Mar 1993,"Lansdowne Road Dublin, Ireland"
78,Ireland,7 - 16,England,02 Mar 1991,"Lansdowne Road Dublin, Ireland"
79,Ireland,3 - 16,England,18 Feb 1989,"Lansdowne Road Dublin, Ireland"
80,Ireland,10 - 21,England,23 Apr 1988,"Lansdowne Road Dublin, Ireland"
81,Ireland,17 - 0,England,07 Feb 1987,"Lansdowne Road Dublin, Ireland"
82,Ireland,13 - 10,England,30 Mar 1985,"Lansdowne Road Dublin, Ireland"
83,Ireland,25 - 15,England,19 Mar 1983,"Lansdowne Road Dublin, Ireland"
84,Ireland,6 - 10,England,07 Mar 1981,"Lansdowne Road Dublin, Ireland"
85,Ireland,12 - 7,England,17 Feb 1979,"Lansdowne Road Dublin, Ireland"
86,Ireland,0 - 4,England,05 Feb 1977,"Lansdowne Road Dublin, Ireland"
87,Ireland,12 - 9,England,18 Jan 1975,"Lansdowne Road Dublin, Ireland"
88,Ireland,18 - 9,England,10 Feb 1973,"Lansdowne Road Dublin, Ireland"
89,Ireland,6 - 9,England,13 Feb 1971,"Lansdowne Road Dublin, Ireland"
90,Ireland,17 - 15,England,08 Feb 1969,"Lansdowne Road Dublin, Ireland"
91,Ireland,3 - 8,England,11 Feb 1967,"Lansdowne Road Dublin, Ireland"
92,Ireland,5 - 0,England,13 Feb 1965,"Lansdowne Road Dublin, Ireland"
93,Ireland,0 - 0,England,09 Feb 1963,"Lansdowne Road Dublin, Ireland"
94,Ireland,11 - 8,England,11 Feb 1961,"Lansdowne Road Dublin, Ireland"
