,HomeTeam,Score,AwayTeam,Date,Ground
0,Ireland,28 - 6,Scotland,02 Feb 2014,"Aviva Stadium Dublin, Ireland"
1,Ireland,32 - 14,Scotland,10 Mar 2012,"Aviva Stadium Dublin, Ireland"
2,Ireland,20 - 23,Scotland,20 Mar 2010,"Croke Park Dublin, Ireland"
3,Ireland,34 - 13,Scotland,23 Feb 2008,"Croke Park Dublin, Ireland"
4,Ireland,15 - 9,Scotland,11 Mar 2006,"Lansdowne Road Dublin, Ireland"
5,Ireland,37 - 16,Scotland,27 Mar 2004,"Lansdowne Road Dublin, Ireland"
6,Ireland,43 - 22,Scotland,02 Mar 2002,"Lansdowne Road Dublin, Ireland"
7,Ireland,44 - 22,Scotland,19 Feb 2000,"Lansdowne Road Dublin, Ireland"
8,Ireland,16 - 17,Scotland,07 Feb 1998,"Lansdowne Road Dublin, Ireland"
9,Ireland,10 - 16,Scotland,20 Jan 1996,"Lansdowne Road Dublin, Ireland"
10,Ireland,6 - 6,Scotland,05 Mar 1994,"Lansdowne Road Dublin, Ireland"
11,Ireland,10 - 18,Scotland,15 Feb 1992,"Lansdowne Road Dublin, Ireland"
12,Ireland,10 - 13,Scotland,03 Feb 1990,"Lansdowne Road Dublin, Ireland"
13,Ireland,22 - 18,Scotland,16 Jan 1988,"Lansdowne Road Dublin, Ireland"
14,Ireland,9 - 10,Scotland,15 Mar 1986,"Lansdowne Road Dublin, Ireland"
15,Ireland,9 - 32,Scotland,03 Mar 1984,"Lansdowne Road Dublin, Ireland"
16,Ireland,21 - 12,Scotland,20 Feb 1982,"Lansdowne Road Dublin, Ireland"
17,Ireland,22 - 15,Scotland,02 Feb 1980,"Lansdowne Road Dublin, Ireland"
18,Ireland,12 - 9,Scotland,21 Jan 1978,"Lansdowne Road Dublin, Ireland"
19,Ireland,6 - 15,Scotland,20 Mar 1976,"Lansdowne Road Dublin, Ireland"
20,Ireland,9 - 6,Scotland,02 Mar 1974,"Lansdowne Road Dublin, Ireland"
21,Ireland,16 - 11,Scotland,28 Feb 1970,"Lansdowne Road Dublin, Ireland"
22,Ireland,14 - 6,Scotland,24 Feb 1968,"Lansdowne Road Dublin, Ireland"
23,Ireland,3 - 11,Scotland,26 Feb 1966,"Lansdowne Road Dublin, Ireland"
24,Ireland,3 - 6,Scotland,22 Feb 1964,"Lansdowne Road Dublin, Ireland"
25,Ireland,6 - 20,Scotland,24 Feb 1962,"Lansdowne Road Dublin, Ireland"
26,Ireland,5 - 6,Scotland,27 Feb 1960,"Lansdowne Road Dublin, Ireland"
27,Ireland,12 - 6,Scotland,01 Mar 1958,"Lansdowne Road Dublin, Ireland"
28,Ireland,14 - 10,Scotland,25 Feb 1956,"Lansdowne Road Dublin, Ireland"
29,Ireland,6 - 0,Scotland,27 Feb 1954,"Ravenhill Belfast, Ireland"
30,Ireland,12 - 8,Scotland,23 Feb 1952,"Lansdowne Road Dublin, Ireland"
31,Ireland,21 - 0,Scotland,25 Feb 1950,"Lansdowne Road Dublin, Ireland"
32,Ireland,6 - 0,Scotland,28 Feb 1948,"Lansdowne Road Dublin, Ireland"
33,Ireland,12 - 3,Scotland,25 Feb 1939,"Lansdowne Road Dublin, Ireland"
34,Ireland,11 - 4,Scotland,27 Feb 1937,"Lansdowne Road Dublin, Ireland"
35,Ireland,12 - 5,Scotland,23 Feb 1935,"Lansdowne Road Dublin, Ireland"
36,Ireland,6 - 8,Scotland,01 Apr 1933,"Lansdowne Road Dublin, Ireland"
37,Ireland,8 - 5,Scotland,28 Feb 1931,"Lansdowne Road Dublin, Ireland"
38,Ireland,7 - 16,Scotland,23 Feb 1929,"Lansdowne Road Dublin, Ireland"
39,Ireland,6 - 0,Scotland,26 Feb 1927,"Lansdowne Road Dublin, Ireland"
40,Ireland,8 - 14,Scotland,28 Feb 1925,"Lansdowne Road Dublin, Ireland"
41,Ireland,3 - 13,Scotland,24 Feb 1923,"Lansdowne Road Dublin, Ireland"
