,HomeTeam,Score,AwayTeam,Date,Ground
0,France,23 - 16,Scotland,16 Mar 2013,"Stade de France Paris, France"
1,France,34 - 21,Scotland,05 Feb 2011,"Stade de France Paris, France"
2,France,22 - 13,Scotland,14 Feb 2009,"Stade de France Paris, France"
3,France,46 - 19,Scotland,17 Mar 2007,"Stade de France Paris, France"
4,France,16 - 9,Scotland,05 Feb 2005,"Stade de France Paris, France"
5,France,51 - 9,Scotland,25 Oct 2003,"Stadium Australia Sydney, Australia"
6,France,38 - 3,Scotland,23 Feb 2003,"Stade de France Paris, France"
7,France,16 - 6,Scotland,04 Feb 2001,"Stade de France Paris, France"
8,France,22 - 36,Scotland,10 Apr 1999,"Stade de France Paris, France"
9,France,47 - 20,Scotland,15 Mar 1997,"Parc des Princes Paris, France"
10,France,22 - 19,Scotland,03 Jun 1995,"Loftus Pretoria, South Africa"
11,France,21 - 23,Scotland,18 Feb 1995,"Parc des Princes Paris, France"
12,France,11 - 3,Scotland,06 Feb 1993,"Parc des Princes Paris, France"
13,France,15 - 9,Scotland,19 Jan 1991,"Parc des Princes Paris, France"
14,France,19 - 3,Scotland,18 Mar 1989,"Parc des Princes Paris, France"
15,France,20 - 20,Scotland,23 May 1987,"Jade Stadium Christchurch, New Zealand"
16,France,28 - 22,Scotland,07 Mar 1987,"Parc des Princes Paris, France"
17,France,11 - 3,Scotland,16 Feb 1985,"Parc des Princes Paris, France"
18,France,19 - 15,Scotland,05 Feb 1983,"Parc des Princes Paris, France"
19,France,16 - 9,Scotland,17 Jan 1981,"Parc des Princes Paris, France"
20,France,21 - 17,Scotland,17 Mar 1979,"Parc des Princes Paris, France"
21,France,23 - 3,Scotland,05 Mar 1977,"Parc des Princes Paris, France"
22,France,10 - 9,Scotland,15 Feb 1975,"Parc des Princes Paris, France"
23,France,16 - 13,Scotland,13 Jan 1973,"Parc des Princes Paris, France"
24,France,13 - 8,Scotland,16 Jan 1971,"Stade Colombes Paris, France"
25,France,3 - 6,Scotland,11 Jan 1969,"Stade Colombes Paris, France"
26,France,8 - 9,Scotland,14 Jan 1967,"Stade Colombes Paris, France"
27,France,16 - 8,Scotland,09 Jan 1965,"Stade Colombes Paris, France"
28,France,6 - 11,Scotland,12 Jan 1963,"Stade Colombes Paris, France"
29,France,11 - 0,Scotland,07 Jan 1961,"Stade Colombes Paris, France"
30,France,9 - 0,Scotland,10 Jan 1959,"Stade Colombes Paris, France"
31,France,0 - 6,Scotland,12 Jan 1957,"Stade Colombes Paris, France"
32,France,15 - 0,Scotland,08 Jan 1955,"Stade Colombes Paris, France"
33,France,11 - 5,Scotland,10 Jan 1953,"Stade Colombes Paris, France"
34,France,14 - 12,Scotland,13 Jan 1951,"Stade Colombes Paris, France"
35,France,0 - 8,Scotland,15 Jan 1949,"Stade Colombes Paris, France"
36,France,8 - 3,Scotland,01 Jan 1947,"Stade Colombes Paris, France"
37,France,7 - 3,Scotland,01 Jan 1930,"Stade Colombes Paris, France"
38,France,6 - 15,Scotland,02 Jan 1928,"Stade Colombes Paris, France"
39,France,6 - 20,Scotland,02 Jan 1926,"Stade Colombes Paris, France"
40,France,12 - 10,Scotland,01 Jan 1924,"Charlety Stadium Paris, France"
41,France,3 - 3,Scotland,02 Jan 1922,"Stade Colombes Paris, France"
42,France,0 - 5,Scotland,01 Jan 1920,"Parc des Princes Paris, France"
43,France,3 - 21,Scotland,01 Jan 1913,"Parc des Princes Paris, France"
44,France,16 - 15,Scotland,02 Jan 1911,"Stade Colombes Paris, France"
45,France,15 - 8,Scotland,07 Feb 2015,
46,France,19 - 16,Scotland,05 Sep 2015,
47,France,22 - 16,Scotland,12 Feb 2017,
48,Scotland,17 - 19,France,08 Mar 2014,"Murrayfield Edinburgh, Scotland"
49,Scotland,17 - 23,France,26 Feb 2012,"Murrayfield Edinburgh, Scotland"
50,Scotland,9 - 18,France,07 Feb 2010,"Murrayfield Edinburgh, Scotland"
51,Scotland,6 - 27,France,03 Feb 2008,"Murrayfield Edinburgh, Scotland"
52,Scotland,20 - 16,France,05 Feb 2006,"Murrayfield Edinburgh, Scotland"
53,Scotland,0 - 31,France,21 Mar 2004,"Murrayfield Edinburgh, Scotland"
54,Scotland,10 - 22,France,23 Mar 2002,"Murrayfield Edinburgh, Scotland"
55,Scotland,16 - 28,France,04 Mar 2000,"Murrayfield Edinburgh, Scotland"
56,Scotland,16 - 51,France,21 Feb 1998,"Murrayfield Edinburgh, Scotland"
57,Scotland,19 - 14,France,03 Feb 1996,"Murrayfield Edinburgh, Scotland"
58,Scotland,12 - 20,France,19 Mar 1994,"Murrayfield Edinburgh, Scotland"
59,Scotland,10 - 6,France,07 Mar 1992,"Murrayfield Edinburgh, Scotland"
60,Scotland,21 - 0,France,17 Feb 1990,"Murrayfield Edinburgh, Scotland"
61,Scotland,23 - 12,France,06 Feb 1988,"Murrayfield Edinburgh, Scotland"
62,Scotland,18 - 17,France,18 Jan 1986,"Murrayfield Edinburgh, Scotland"
63,Scotland,21 - 12,France,17 Mar 1984,"Murrayfield Edinburgh, Scotland"
64,Scotland,16 - 7,France,06 Mar 1982,"Murrayfield Edinburgh, Scotland"
65,Scotland,22 - 14,France,16 Feb 1980,"Murrayfield Edinburgh, Scotland"
66,Scotland,16 - 19,France,04 Feb 1978,"Murrayfield Edinburgh, Scotland"
67,Scotland,6 - 13,France,10 Jan 1976,"Murrayfield Edinburgh, Scotland"
68,Scotland,19 - 6,France,16 Mar 1974,"Murrayfield Edinburgh, Scotland"
69,Scotland,20 - 9,France,15 Jan 1972,"Murrayfield Edinburgh, Scotland"
70,Scotland,9 - 11,France,10 Jan 1970,"Murrayfield Edinburgh, Scotland"
71,Scotland,6 - 8,France,13 Jan 1968,"Murrayfield Edinburgh, Scotland"
72,Scotland,3 - 3,France,15 Jan 1966,"Murrayfield Edinburgh, Scotland"
73,Scotland,10 - 0,France,04 Jan 1964,"Murrayfield Edinburgh, Scotland"
74,Scotland,3 - 11,France,13 Jan 1962,"Murrayfield Edinburgh, Scotland"
75,Scotland,11 - 13,France,09 Jan 1960,"Murrayfield Edinburgh, Scotland"
76,Scotland,11 - 9,France,11 Jan 1958,"Murrayfield Edinburgh, Scotland"
77,Scotland,12 - 0,France,14 Jan 1956,"Murrayfield Edinburgh, Scotland"
78,Scotland,0 - 3,France,09 Jan 1954,"Murrayfield Edinburgh, Scotland"
79,Scotland,11 - 13,France,12 Jan 1952,"Murrayfield Edinburgh, Scotland"
80,Scotland,8 - 5,France,14 Jan 1950,"Murrayfield Edinburgh, Scotland"
81,Scotland,9 - 8,France,24 Jan 1948,"Murrayfield Edinburgh, Scotland"
