,HomeTeam,Score,AwayTeam,Date,Ground
0,Wales,51 - 3,Scotland,15 Mar 2014,"Millennium Stadium Cardiff, Wales"
1,Wales,27 - 13,Scotland,12 Feb 2012,"Millennium Stadium Cardiff, Wales"
2,Wales,31 - 24,Scotland,13 Feb 2010,"Millennium Stadium Cardiff, Wales"
3,Wales,30 - 15,Scotland,09 Feb 2008,"Millennium Stadium Cardiff, Wales"
4,Wales,28 - 18,Scotland,12 Feb 2006,"Millennium Stadium Cardiff, Wales"
5,Wales,23 - 10,Scotland,14 Feb 2004,"Millennium Stadium Cardiff, Wales"
6,Wales,23 - 9,Scotland,30 Aug 2003,"Millennium Stadium Cardiff, Wales"
7,Wales,22 - 27,Scotland,06 Apr 2002,"Millennium Stadium Cardiff, Wales"
8,Wales,26 - 18,Scotland,18 Mar 2000,"Millennium Stadium Cardiff, Wales"
9,Wales,14 - 16,Scotland,17 Feb 1996,"Millennium Stadium Cardiff, Wales"
10,Wales,29 - 6,Scotland,15 Jan 1994,"Millennium Stadium Cardiff, Wales"
11,Wales,15 - 12,Scotland,21 Mar 1992,"Millennium Stadium Cardiff, Wales"
12,Wales,9 - 13,Scotland,03 Mar 1990,"Millennium Stadium Cardiff, Wales"
13,Wales,25 - 20,Scotland,20 Feb 1988,"Millennium Stadium Cardiff, Wales"
14,Wales,22 - 15,Scotland,01 Feb 1986,"Millennium Stadium Cardiff, Wales"
15,Wales,9 - 15,Scotland,21 Jan 1984,"Millennium Stadium Cardiff, Wales"
16,Wales,18 - 34,Scotland,20 Mar 1982,"Millennium Stadium Cardiff, Wales"
17,Wales,17 - 6,Scotland,01 Mar 1980,"Millennium Stadium Cardiff, Wales"
18,Wales,22 - 14,Scotland,18 Feb 1978,"Millennium Stadium Cardiff, Wales"
19,Wales,28 - 6,Scotland,07 Feb 1976,"Millennium Stadium Cardiff, Wales"
20,Wales,6 - 0,Scotland,19 Jan 1974,"Millennium Stadium Cardiff, Wales"
21,Wales,35 - 12,Scotland,05 Feb 1972,"Millennium Stadium Cardiff, Wales"
22,Wales,18 - 9,Scotland,07 Feb 1970,"Millennium Stadium Cardiff, Wales"
