,Away Team,Home Team,Score,Date
0,England,Italy,11 - 52,15 Mar 2014
1,England,Italy,15 - 19,11 Feb 2012
2,England,Italy,12 - 17,14 Feb 2010
3,England,Italy,19 - 23,10 Feb 2008
4,England,Italy,16 - 31,11 Feb 2006
5,England,Italy,9 - 50,15 Feb 2004
6,England,Italy,9 - 45,07 Apr 2002
7,England,Italy,12 - 59,18 Mar 2000
8,England,Italy,9 - 40,14 Feb 2016
9,England,Italy,15 - 46,04 Feb 2018
10,Italy,England,18 - 11,10 Mar 2013
11,Italy,England,59 - 13,12 Feb 2011
12,Italy,England,36 - 11,07 Feb 2009
13,Italy,England,20 - 7,10 Feb 2007
14,Italy,England,39 - 7,12 Mar 2005
15,Italy,England,40 - 5,09 Mar 2003
16,Italy,England,80 - 23,17 Feb 2001
17,Italy,England,67 - 7,02 Oct 1999
18,Italy,England,23 - 15,22 Nov 1998
19,Italy,England,54 - 21,23 Nov 1996
20,Italy,England,27 - 20,31 May 1995
21,Italy,England,36 - 6,08 Oct 1991
22,Italy,England,47 - 17,14 Feb 2015
23,Italy,England,36 - 15,26 Feb 2017
