,Away Team,Home Team,Score,Date
0,France,Italy,23 - 18,03 Feb 2013
1,France,Italy,22 - 21,12 Mar 2011
2,France,Italy,8 - 50,21 Mar 2009
3,France,Italy,3 - 39,03 Feb 2007
4,France,Italy,13 - 56,19 Mar 2005
5,France,Italy,27 - 53,23 Mar 2003
6,France,Italy,19 - 30,03 Mar 2001
7,France,Italy,9 - 22,17 Feb 1985
8,France,Italy,0 - 21,09 Apr 1966
9,France,Italy,3 - 12,29 Mar 1964
10,France,Italy,3 - 6,22 Apr 1962
11,France,Italy,0 - 26,17 Apr 1960
12,France,Italy,3 - 11,07 Apr 1958
13,France,Italy,3 - 16,02 Apr 1956
14,France,Italy,12 - 39,24 Apr 1954
15,France,Italy,8 - 17,17 May 1952
16,France,Italy,0 - 29,15 Mar 2015
17,France,Italy,18 - 40,11 Mar 2017
18,Italy,France,30 - 10,09 Feb 2014
19,Italy,France,30 - 12,04 Feb 2012
20,Italy,France,46 - 20,14 Mar 2010
21,Italy,France,25 - 13,09 Mar 2008
22,Italy,France,37 - 12,25 Feb 2006
23,Italy,France,25 - 0,21 Feb 2004
24,Italy,France,33 - 12,02 Feb 2002
25,Italy,France,42 - 31,01 Apr 2000
26,Italy,France,30 - 19,18 Oct 1997
27,Italy,France,32 - 40,22 Mar 1997
28,Italy,France,34 - 22,14 Oct 1995
29,Italy,France,60 - 13,26 Mar 1967
30,Italy,France,21 - 0,18 Apr 1965
31,Italy,France,14 - 12,14 Apr 1963
32,Italy,France,17 - 0,02 Apr 1961
33,Italy,France,22 - 0,29 Mar 1959
34,Italy,France,38 - 6,21 Apr 1957
35,Italy,France,24 - 0,10 Apr 1955
36,Italy,France,22 - 8,26 Apr 1953
37,Italy,France,43 - 5,17 Oct 1937
38,Italy,France,32 - 10,19 Sep 2015
39,Italy,France,23 - 21,06 Feb 2016
40,Italy,France,34 - 17,23 Feb 2018
