game_id,data_set,date,a1,a2,a3,a4,a5,h1,h2,h3,h4,h5,period,away_score,home_score,remaining_time,elapsed,play_length,play_id,team,event_type,assist,away,home,block,entered,left,num,opponent,outof,player,points,possession,reason,result,steal,type,shot_distance,original_x,original_y,converted_x,converted_y,description,,
0021700074,2017-2018 Regular Season,10/27/2017,Paul George,Carmelo Anthony,Steven Adams,Andre Roberson,Russell Westbrook,Andrew Wiggins,Taj Gibson,Karl-Anthony Towns,Jimmy Butler,Jeff Teague,1,0,0,0:12:00,0:00:00,0:00:00,2,,start of period,,,,,,,,,,,,,,,,start of period,,,,,,,,
0021700074,2017-2018 Regular Season,10/27/2017,Paul George,Carmelo Anthony,Steven Adams,Andre Roberson,Russell Westbrook,Andrew Wiggins,Taj Gibson,Karl-Anthony Towns,Jimmy Butler,Jeff Teague,1,0,0,0:12:00,0:00:00,0:00:00,4,OKC,jump ball,,Steven Adams,Karl-Anthony Towns,,,,,,,Karl-Anthony Towns,,Russell Westbrook,,,,jump ball,,,,,,Jump Ball Towns vs. Adams: Tip to Westbrook,,
0021700074,2017-2018 Regular Season,10/27/2017,Paul George,Carmelo Anthony,Steven Adams,Andre Roberson,Russell Westbrook,Andrew Wiggins,Taj Gibson,Karl-Anthony Towns,Jimmy Butler,Jeff Teague,1,0,0,0:11:43,0:00:17,0:00:17,8,OKC,miss,,,,,,,,,,Andre Roberson,0,,,missed,,Jump Shot,24,236,-6,1.4,4.4,MISS Roberson 24' 3PT Jump Shot,,
0021700074,2017-2018 Regular Season,10/27/2017,Paul George,Carmelo Anthony,Steven Adams,Andre Roberson,Russell Westbrook,Andrew Wiggins,Taj Gibson,Karl-Anthony Towns,Jimmy Butler,Jeff Teague,1,0,0,0:11:38,0:00:22,0:00:05,9,MIN,rebound,,,,,,,,,,Taj Gibson,,,,,,rebound defensive,,,,,,Gibson REBOUND (Off:0 Def:1),,
0021700074,2017-2018 Regular Season,10/27/2017,Paul George,Carmelo Anthony,Steven Adams,Andre Roberson,Russell Westbrook,Andrew Wiggins,Taj Gibson,Karl-Anthony Towns,Jimmy Butler,Jeff Teague,1,0,0,0:11:28,0:00:32,0:00:10,10,MIN,miss,,,,,,,,,,Jimmy Butler,0,,,missed,,Jump Shot,18,-167,53,8.3,83.7,MISS Butler 18' Jump Shot,,
0021700074,2017-2018 Regular Season,10/27/2017,Paul George,Carmelo Anthony,Steven Adams,Andre Roberson,Russell Westbrook,Andrew Wiggins,Taj Gibson,Karl-Anthony Towns,Jimmy Butler,Jeff Teague,1,0,0,0:11:26,0:00:34,0:00:02,11,OKC,rebound,,,,,,,,,,Steven Adams,,,,,,rebound defensive,,,,,,Adams REBOUND (Off:0 Def:1),,
0021700074,2017-2018 Regular Season,10/27/2017,Paul George,Carmelo Anthony,Steven Adams,Andre Roberson,Russell Westbrook,Andrew Wiggins,Taj Gibson,Karl-Anthony Towns,Jimmy Butler,Jeff Teague,1,0,0,0:11:09,0:00:51,0:00:17,12,OKC,miss,,,,,,,,,,Paul George,0,,,missed,,Turnaround Fadeaway ,15,130,70,12,12,MISS George 15' Turnaround Fadeaway Shot,,
0021700074,2017-2018 Regular Season,10/27/2017,Paul George,Carmelo Anthony,Steven Adams,Andre Roberson,Russell Westbrook,Andrew Wiggins,Taj Gibson,Karl-Anthony Towns,Jimmy Butler,Jeff Teague,1,0,0,0:11:04,0:00:56,0:00:05,13,OKC,rebound,,,,,,,,,,Andre Roberson,,,,,,rebound offensive,,,,,,Roberson REBOUND (Off:1 Def:0),,
0021700074,2017-2018 Regular Season,10/27/2017,Paul George,Carmelo Anthony,Steven Adams,Andre Roberson,Russell Westbrook,Andrew Wiggins,Taj Gibson,Karl-Anthony Towns,Jimmy Butler,Jeff Teague,1,2,0,0:11:04,0:00:56,0:00:00,14,OKC,shot,,,,,,,,,,Andre Roberson,2,,,made,,unknown,0,4,2,24.6,5.2,Roberson  Tip Layup Shot (2 PTS),,
0021700074,2017-2018 Regular Season,10/27/2017,Paul George,Carmelo Anthony,Steven Adams,Andre Roberson,Russell Westbrook,Andrew Wiggins,Taj Gibson,Karl-Anthony Towns,Jimmy Butler,Jeff Teague,1,2,2,0:10:53,0:01:07,0:00:11,15,MIN,shot,Jimmy Butler,,,,,,,,,Karl-Anthony Towns,2,,,made,,Dunk,1,-11,3,23.9,88.7,Towns 1' Dunk (2 PTS) (Butler 1 AST),,
0021700074,2017-2018 Regular Season,10/27/2017,Paul George,Carmelo Anthony,Steven Adams,Andre Roberson,Russell Westbrook,Andrew Wiggins,Taj Gibson,Karl-Anthony Towns,Jimmy Butler,Jeff Teague,1,4,2,0:10:34,0:01:26,0:00:19,17,OKC,shot,,,,,,,,,,Paul George,2,,,made,,Jump Shot,18,-177,53,42.7,10.3,George 18' Jump Shot (2 PTS),,
0021700074,2017-2018 Regular Season,10/27/2017,Paul George,Carmelo Anthony,Steven Adams,Andre Roberson,Russell Westbrook,Andrew Wiggins,Taj Gibson,Karl-Anthony Towns,Jimmy Butler,Jeff Teague,1,4,5,0:10:10,0:01:50,0:00:24,18,MIN,shot,Taj Gibson,,,,,,,,,Andrew Wiggins,3,,,made,,Jump Shot,25,-189,161,6.1,72.9,Wiggins 25' 3PT Jump Shot (3 PTS) (Gibson 1 AST),,
0021700074,2017-2018 Regular Season,10/27/2017,Paul George,Carmelo Anthony,Steven Adams,Andre Roberson,Russell Westbrook,Andrew Wiggins,Taj Gibson,Karl-Anthony Towns,Jimmy Butler,Jeff Teague,1,4,5,0:09:57,0:02:03,0:00:13,20,OKC,turnover,,,,,,,,,,Russell Westbrook,,,,,,unknown,,,,,,Westbrook Out of Bounds - Bad Pass Turnover Turnover (P1.T1),,
0021700074,2017-2018 Regular Season,10/27/2017,Paul George,Carmelo Anthony,Steven Adams,Andre Roberson,Russell Westbrook,Andrew Wiggins,Taj Gibson,Karl-Anthony Towns,Jimmy Butler,Jeff Teague,1,4,5,0:09:41,0:02:19,0:00:16,21,MIN,turnover,,,,,,,,,,Jeff Teague,,,lost ball ,,Russell Westbrook,lost ball ,,,,,,"Westbrook STEAL (1 STL), Teague Lost Ball Turnover (P1.T1)",,
0021700074,2017-2018 Regular Season,10/27/2017,Paul George,Carmelo Anthony,Steven Adams,Andre Roberson,Russell Westbrook,Andrew Wiggins,Taj Gibson,Karl-Anthony Towns,Jimmy Butler,Jeff Teague,1,6,5,0:09:37,0:02:23,0:00:04,23,OKC,shot,Russell Westbrook,,,,,,,,,Carmelo Anthony,2,,,made,,Layup,1,5,13,24.5,6.3,Anthony 1' Layup (2 PTS) (Westbrook 1 AST),,
0021700074,2017-2018 Regular Season,10/27/2017,Paul George,Carmelo Anthony,Steven Adams,Andre Roberson,Russell Westbrook,Andrew Wiggins,Taj Gibson,Karl-Anthony Towns,Jimmy Butler,Jeff Teague,1,6,5,0:09:30,0:02:30,0:00:07,25,MIN,turnover,,,,,,,,,,Taj Gibson,,,lost ball ,,Carmelo Anthony,lost ball ,,,,,,"Anthony STEAL (1 STL), Gibson Lost Ball Turnover (P1.T2)",,
0021700074,2017-2018 Regular Season,10/27/2017,Paul George,Carmelo Anthony,Steven Adams,Andre Roberson,Russell Westbrook,Andrew Wiggins,Taj Gibson,Karl-Anthony Towns,Jimmy Butler,Jeff Teague,1,6,5,0:09:24,0:02:36,0:00:06,27,OKC,miss,,,,,,,,,,Carmelo Anthony,0,,,missed,,Jump Shot,27,-127,233,37.7,28.3,MISS Anthony 27' 3PT Jump Shot,,
0021700074,2017-2018 Regular Season,10/27/2017,Paul George,Carmelo Anthony,Steven Adams,Andre Roberson,Russell Westbrook,Andrew Wiggins,Taj Gibson,Karl-Anthony Towns,Jimmy Butler,Jeff Teague,1,6,5,0:09:22,0:02:38,0:00:02,28,,rebound,,,,,,,,,,,,,,,,team rebound,,,,,,TIMBERWOLVES Rebound,,
0021700074,2017-2018 Regular Season,10/27/2017,Paul George,Carmelo Anthony,Steven Adams,Andre Roberson,Russell Westbrook,Andrew Wiggins,Taj Gibson,Karl-Anthony Towns,Jimmy Butler,Jeff Teague,1,6,5,0:09:22,0:02:38,0:00:00,29,OKC,foul,,,,,,,,Jimmy Butler,,Andre Roberson,,,l.b.foul,,,l.b.foul,,,,,,Roberson L.B.FOUL (P1.T1) (K.Mauer),,
0021700074,2017-2018 Regular Season,10/27/2017,Paul George,Carmelo Anthony,Steven Adams,Andre Roberson,Russell Westbrook,Andrew Wiggins,Taj Gibson,Karl-Anthony Towns,Jimmy Butler,Jeff Teague,1,6,5,0:09:08,0:02:52,0:00:14,31,MIN,miss,,,,,,,,,,Karl-Anthony Towns,0,,,missed,,Jump Shot,23,-226,5,2.4,88.5,MISS Towns  3PT Jump Shot,,
0021700074,2017-2018 Regular Season,10/27/2017,Paul George,Carmelo Anthony,Steven Adams,Andre Roberson,Russell Westbrook,Andrew Wiggins,Taj Gibson,Karl-Anthony Towns,Jimmy Butler,Jeff Teague,1,6,5,0:09:08,0:02:52,0:00:00,32,OKC,rebound,,,,,,,,,,Paul George,,,,,,rebound defensive,,,,,,George REBOUND (Off:0 Def:1),,
0021700074,2017-2018 Regular Season,10/27/2017,Paul George,Carmelo Anthony,Steven Adams,Andre Roberson,Russell Westbrook,Andrew Wiggins,Taj Gibson,Karl-Anthony Towns,Jimmy Butler,Jeff Teague,1,6,5,0:09:01,0:02:59,0:00:07,33,OKC,miss,,,,Karl-Anthony Towns,,,,,,Andre Roberson,0,,,missed,,Layup,3,-25,-6,27.5,4.4,"MISS Roberson 3' Layup, Towns BLOCK (1 BLK)",,
0021700074,2017-2018 Regular Season,10/27/2017,Paul George,Carmelo Anthony,Steven Adams,Andre Roberson,Russell Westbrook,Andrew Wiggins,Taj Gibson,Karl-Anthony Towns,Jimmy Butler,Jeff Teague,1,6,5,0:09:01,0:02:59,0:00:00,35,MIN,rebound,,,,,,,,,,Jimmy Butler,,,,,,rebound defensive,,,,,,Butler REBOUND (Off:0 Def:1),,
0021700074,2017-2018 Regular Season,10/27/2017,Paul George,Carmelo Anthony,Steven Adams,Andre Roberson,Russell Westbrook,Andrew Wiggins,Taj Gibson,Karl-Anthony Towns,Jimmy Butler,Jeff Teague,1,6,5,0:08:48,0:03:12,0:00:13,36,MIN,miss,,,,Steven Adams,,,,,,Taj Gibson,0,,,missed,,Layup,11,107,1,35.7,88.9,"Adams BLOCK (1 BLK), MISS Gibson 11' Layup",,
0021700074,2017-2018 Regular Season,10/27/2017,Paul George,Carmelo Anthony,Steven Adams,Andre Roberson,Russell Westbrook,Andrew Wiggins,Taj Gibson,Karl-Anthony Towns,Jimmy Butler,Jeff Teague,1,6,5,0:08:48,0:03:12,0:00:00,38,,rebound,,,,,,,,,,,,,,,,team rebound,,,,,,TIMBERWOLVES Rebound,,
0021700074,2017-2018 Regular Season,10/27/2017,Paul George,Carmelo Anthony,Steven Adams,Andre Roberson,Russell Westbrook,Andrew Wiggins,Taj Gibson,Karl-Anthony Towns,Jimmy Butler,Jeff Teague,1,6,5,0:08:46,0:03:14,0:00:02,39,MIN,miss,,,,,,,,,,Karl-Anthony Towns,0,,,missed,,Jump Shot,25,144,205,39.4,68.5,MISS Towns 25' 3PT Jump Shot,,
0021700074,2017-2018 Regular Season,10/27/2017,Paul George,Carmelo Anthony,Steven Adams,Andre Roberson,Russell Westbrook,Andrew Wiggins,Taj Gibson,Karl-Anthony Towns,Jimmy Butler,Jeff Teague,1,6,5,0:08:46,0:03:14,0:00:00,40,MIN,rebound,,,,,,,,,,Taj Gibson,,,,,,rebound offensive,,,,,,Gibson REBOUND (Off:1 Def:1),,
