,index,player,Conceded,Scored,PlusMinus,Team,GameID,HomeAway
0,0,Brandon Paul,9.0,12.0,3.0,SAS,"=""0021700126""",Home
1,1,Bryn Forbes,49.0,66.0,17.0,SAS,"=""0021700126""",Home
2,2,Danny Green,63.0,48.0,-15.0,SAS,"=""0021700126""",Home
3,3,Dejounte Murray,30.0,42.0,12.0,SAS,"=""0021700126""",Home
4,4,Kyle Anderson,51.0,41.0,-10.0,SAS,"=""0021700126""",Home
5,5,LaMarcus Aldridge,77.0,68.0,-9.0,SAS,"=""0021700126""",Home
6,6,Manu Ginobili,55.0,68.0,13.0,SAS,"=""0021700126""",Home
7,7,Patty Mills,71.0,66.0,-5.0,SAS,"=""0021700126""",Home
8,8,Pau Gasol,50.0,60.0,10.0,SAS,"=""0021700126""",Home
9,9,Rudy Gay,50.0,69.0,19.0,SAS,"=""0021700126""",Home
0,0,Brandon Paul,12.0,7.0,-5.0,SAS,"=""0021700361""",Home
1,1,Bryn Forbes,57.0,58.0,1.0,SAS,"=""0021700361""",Home
2,2,Danny Green,58.0,90.0,32.0,SAS,"=""0021700361""",Home
3,3,Davis Bertans,46.0,33.0,-13.0,SAS,"=""0021700361""",Home
4,4,LaMarcus Aldridge,82.0,83.0,1.0,SAS,"=""0021700361""",Home
5,5,Manu Ginobili,60.0,59.0,-1.0,SAS,"=""0021700361""",Home
6,6,Patty Mills,62.0,65.0,3.0,SAS,"=""0021700361""",Home
7,7,Pau Gasol,42.0,51.0,9.0,SAS,"=""0021700361""",Home
8,8,Rudy Gay,63.0,87.0,24.0,SAS,"=""0021700361""",Home
9,9,Tony Parker,43.0,52.0,9.0,SAS,"=""0021700361""",Home
0,0,Bryn Forbes,11.0,13.0,2.0,SAS,"=""0041700155""",Away
1,1,Danny Green,36.0,25.0,-11.0,SAS,"=""0041700155""",Away
2,2,Davis Bertans,31.0,32.0,1.0,SAS,"=""0041700155""",Away
3,3,Dejounte Murray,38.0,29.0,-9.0,SAS,"=""0041700155""",Away
4,4,Kyle Anderson,37.0,31.0,-6.0,SAS,"=""0041700155""",Away
5,5,LaMarcus Aldridge,84.0,81.0,-3.0,SAS,"=""0041700155""",Away
6,6,Manu Ginobili,55.0,54.0,-1.0,SAS,"=""0041700155""",Away
7,7,Patty Mills,74.0,70.0,-4.0,SAS,"=""0041700155""",Away
8,8,Pau Gasol,37.0,33.0,-4.0,SAS,"=""0041700155""",Away
9,9,Rudy Gay,63.0,62.0,-1.0,SAS,"=""0041700155""",Away
10,10,Tony Parker,29.0,25.0,-4.0,SAS,"=""0041700155""",Away
0,0,Brandon Paul,3.0,2.0,-1.0,SAS,"=""0021700250""",Home
1,1,Bryn Forbes,30.0,49.0,19.0,SAS,"=""0021700250""",Home
2,2,Danny Green,48.0,57.0,9.0,SAS,"=""0021700250""",Home
3,3,Davis Bertans,7.0,10.0,3.0,SAS,"=""0021700250""",Home
4,4,Dejounte Murray,25.0,34.0,9.0,SAS,"=""0021700250""",Home
5,5,Joffrey Lauvergne,12.0,16.0,4.0,SAS,"=""0021700250""",Home
6,6,Kyle Anderson,55.0,54.0,-1.0,SAS,"=""0021700250""",Home
7,7,LaMarcus Aldridge,72.0,75.0,3.0,SAS,"=""0021700250""",Home
8,8,Manu Ginobili,49.0,60.0,11.0,SAS,"=""0021700250""",Home
9,9,Patty Mills,60.0,62.0,2.0,SAS,"=""0021700250""",Home
10,10,Pau Gasol,37.0,33.0,-4.0,SAS,"=""0021700250""",Home
11,11,Rudy Gay,27.0,28.0,1.0,SAS,"=""0021700250""",Home
0,0,Brandon Paul,10.0,6.0,-4.0,SAS,"=""0021700698""",Home
1,1,Bryn Forbes,41.0,57.0,16.0,SAS,"=""0021700698""",Home
2,2,Danny Green,57.0,75.0,18.0,SAS,"=""0021700698""",Home
3,3,Darrun Hilliard,3.0,2.0,-1.0,SAS,"=""0021700698""",Home
