player,HomeAway,PlusMinus,GameID
Aaron Gordon,Away,12.139253348598993,22
Aaron Gordon,Home,11.81453906563152,25
Adreian Payne,Away,15.821925715074425,3
Adreian Payne,Home,0.7071067811865476,2
Alex Caruso,Away,8.135220844071672,12
Alex Caruso,Home,12.11315695549973,21
Andre Ingram,Away,,1
Andre Ingram,Home,,1
Andrew Bogut,Away,7.480884731342702,11
Andrew Bogut,Home,6.030226891555273,11
Arron Afflalo,Away,7.077340219937472,22
Arron Afflalo,Home,11.265777776866935,22
Bismack Biyombo,Away,8.84451752194988,34
Bismack Biyombo,Home,7.504306547296241,34
Brandon Ingram,Away,11.917451112785864,27
Brandon Ingram,Home,12.700808687266386,27
Brook Lopez,Away,9.601523176654212,31
Brook Lopez,Home,10.374074829662092,36
Channing Frye,Away,4.242640687119285,2
Channing Frye,Home,7.816648898345121,6
Corey Brewer,Away,8.742284382922124,24
Corey Brewer,Home,9.300537618869138,25
D.J. Augustin,Away,9.783871316152645,30
D.J. Augustin,Home,12.241880425965462,33
Derrick Williams,Home,,1
Elfrid Payton,Away,10.260296497203495,20
Elfrid Payton,Home,9.307479071513761,16
Evan Fournier,Away,12.079597123524719,25
Evan Fournier,Home,12.749416419884442,21
Gary Payton II,Away,12.649110640673516,6
Gary Payton II,Home,4.830458915396479,4
Isaiah Thomas,Away,7.17828515578601,9
Isaiah Thomas,Home,15.214028613968972,6
Ivica Zubac,Away,5.033222956847166,16
Ivica Zubac,Home,7.62536851957258,23
Jamel Artis,Away,12.884098726725126,5
Jamel Artis,Home,11.587828863845797,9
Jonathan Isaac,Away,10.594680398542128,14
Jonathan Isaac,Home,5.585198693372013,9
Jonathon Simmons,Away,12.322121465857853,32
Jonathon Simmons,Home,11.05667219374799,25
Jordan Clarkson,Away,9.228114800261125,23
Jordan Clarkson,Home,12.221104066956661,26
Josh Hart,Away,9.825398797934948,27
Josh Hart,Home,11.013508933680404,32
Julius Randle,Away,10.928876252133783,35
Julius Randle,Home,13.543472266211536,40
Kentavious Caldwell-Pope,Away,9.210750839887199,30
Kentavious Caldwell-Pope,Home,11.684156774004684,37
Khem Birch,Away,8.057485769337537,13
Khem Birch,Home,9.51462760848466,22
Kyle Kuzma,Away,8.308876768557841,34
Kyle Kuzma,Home,12.12299331712127,37
Larry Nance Jr.,Away,8.00592101146583,18
Larry Nance Jr.,Home,13.481380457787662,21
Lonzo Ball,Away,10.346181820404547,23
Lonzo Ball,Home,15.296731677060954,25
Luol Deng,Home,,1
Mario Hezonja,Away,10.387233686401494,31
Mario Hezonja,Home,9.882971126112324,31
Marreese Speights,Away,7.929282299588107,23
Marreese Speights,Home,7.773850303293195,19
Nigel Hayes,Away,,1
Nigel Hayes,Home,,1
Nikola Vucevic,Away,12.685687473159136,25
Nikola Vucevic,Home,12.263896691318626,23
Rashad Vaughn,Away,,1
Rashad Vaughn,Home,3.2145502536643185,3
Rodney Purvis,Away,11.92895636675732,5
Rodney Purvis,Home,10.658851303546323,9
Shelvin Mack,Away,9.307069273489827,26
Shelvin Mack,Home,8.07586157817759,30
Terrence Ross,Away,14.494251734164592,12
Terrence Ross,Home,11.180339887498949,7
Thomas Bryant,Away,3.4641016151377544,3
Thomas Bryant,Home,3.7727090178455764,10
Travis Wear,Away,7.892129895390362,7
Travis Wear,Home,6.385748020222672,9
Tyler Ennis,Away,7.280832803724411,20
Tyler Ennis,Home,8.644882309654843,29
Vander Blue,Away,1.5,4
Vander Blue,Home,,1
Wes Iwundu,Away,8.414414509726864,23
Wes Iwundu,Home,7.797837380086085,27
